Outfall Structure,Outfall Location,Tide Gate #,Waterway Reach,Plant,Open date/time,Close date/time,Gate Open Period
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,7/6/2016 8:28:00 AM,7/6/2016 12:12:00 PM,:03:44:00
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,6/22/2016 10:40:00 PM,6/23/2016 3:05:00 AM,:04:25:00
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,6/1/2016 8:40:00 AM,6/1/2016 2:35:00 PM,:05:55:00
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,5/31/2016 3:50:00 PM,6/1/2016 2:34:00 AM,:10:44:00
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,5/27/2016 6:03:00 PM,5/28/2016 5:50:00 AM,:11:47:00
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,5/26/2016 12:00:00 AM,5/26/2016 2:00:00 PM,:14:00:00
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,5/25/2016 6:10:00 PM,5/25/2016 11:59:59 PM,:05:49:59
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,5/13/2016 8:15:00 PM,5/15/2016 8:20:00 AM,:12:05:00
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,5/12/2016 2:15:00 AM,5/13/2016 7:40:00 AM,:05:25:00
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,5/11/2016 12:00:00 AM,5/11/2016 3:38:00 AM,:03:38:00
