Field_Note,Outfall_Vi,Monitor,Adj_Basin_,Runoff_Fac,Graffiti,DWM_cfs_ac,percent_ac,DWM_cfs,Location,ATLAS,Receiving,percent_ro,Insp_Date,Pipe_Size,Saturation,Elevation,Users,MWRD_cfs_a,Outfall_Ph,TG,Basin_Ac,Structural,STATUS,Shaft,Easting,MWRD,Comment,Bank_Erosi,users_acre,Bag,Connection,River_Bank,FID,on_CAWS,GPS,Control,MWRD_cfs,311_Street,NAME,Obstructio,Outfall_St,rock_acres,Pipe_Mater,Weather,Outfall_Si,CDM_cfs_ac,Owner,sand_acres,311_Add,Northing
078.pdf,078.mpg,NO,13.182,1.57003334921,NO,1.27077905064,0.125297760838,16.7514094456,McLean Ave,40-1-19,North Branch Chicago River,0,-1240035328,2.25,Invert wet,-3.58,0,0.758610226066,078.jpg,0,8.396,FAIR,Active,I-74,1166118.4339,MS-73, ,NO,0, ,Interceptor,E,1280,1,YES, ,10,N DOMINICK ST,078,NO,Open pipe,0,Metal,SUNNY,2.5,1.27077905064,DWM,1.052,2050,1913612.2
079.pdf,079.mpg,NO,29.8645725375,1.52253747323,NO,0.208056692769,0,6.21352419311,Cortland St.,40-1-20,North Branch Chicago River,0,401564672,2,Dry,-1.08,0,0.267875925228,079.jpg,0,19.615,FAIR,Active,I-73,1166301.6635,MS-66, ,N/A,0, ,Interceptor,W,1281,1,YES, ,8,W CORTLAND ST,079,YES,Bridge,0,Metal,SUNNY,2,0.208056692769,DWM,0,1436,1912991.8658
080.pdf,080.mpg,NO,89.1314515089,1.3534911319,NO,0.50038453593,0.724993546232,44.6,Cortland St.,40-1-20,North Branch Chicago River,0,401564672,4,Dry,-1.88,0,0.190729531632,080.jpg,0,65.853,FAIR,Active,I-72,1166392.8544,MS-73, ,YES,0,Net,Interceptor,E,1282,1,YES, ,17,W CORTLAND ST,080,NO,Bridge,0,Metal,SUNNY,3x4.5,1.33751727216,DWM,47.743,1424,1913085.3176
081.pdf,081.mpg,NO,92.26,1.4,NO,0.472577498374,0.723823975721,43.6,Clifton Ave.,40-1-20,North Branch Chicago River,0,-1326435328,2.5,Invert wet,-1.18,0,0.130067201387,081.jpg,0,65.9,FAIR,Active,DS-72,1167778.1024,MS-73, ,NO,0, ,Direct,E,1283,1,YES, ,12,N CLIFTON AVE,081,NO,Open pipe,0,Metal,SUNNY,2.5,0.472577498374,DWM,47.7,1900,1912443.2462
082.pdf,N/A,MWRD,298.87622349,0.986745144261,NO,0.253725687309,0.010650696125,75.8325752254,North Ave.,39-3-25,North Branch Chicago River,0,-1326435328,6,Invert wet,-3.78,2,0.294436268541,082.jpg,1,302.891,FAIR,Active,DS-71,1168258.35,MS-66, ,NA,0.00660303541538, ,Direct,W,1284,1,YES, ,88,W NORTH AVE,082,NO,Battery,0,Cement,SUNNY,8.6x6,0.253725687309,DWM,3.226,1205,1910736.05
083.pdf,083.mpg,MWRD,164.762211934,1.13693407261,NO,0.234546170401,0.648704784775,38.644345836,North Ave.,39-3-25,North Branch Chicago River,0,-1326435328,4.5,Dry,-1.63,0,0.254912819554,083.jpg,1,144.918,EXCELLENT,Active,DS-70,1168514.03,MS-70, ,NO,0, ,Direct,E,1285,1,YES, ,42,W NORTH AVE,083,NO,Headwall,0,Cement,SUNNY,5,0.234546170401,DWM,94.009,1078,1910744.35
084.pdf,084.mpg,MWRD,811.147999555,0.625210420499,NO,1.17068648449,0.079302451056,949.6,Blackhawk St., ,North Branch Chicago River,0,-1326435328,16.5 X 11,Invert wet,-11.48,1,1.02324113535,084.jpg,2,1297.4,POOR,Active,DS-66,1168011.57,MS-66, ,NO,0.000770772313858, ,Direct,W,1286,1,YES, ,830,W BLACKHAWK Ave,084,NO,Battery,0,Cement,SUNNY,2(11x12),1.86648458585,DWM,102.887,0,1909467.82
085.pdf,085.mpg,NO,51.79685,1.10168559639,NO,0.705756898692,0,36.555984218,Blackhawk St.,39-3-25,North Branch Chicago River,0,-1326435328,3.5,Dry,-0.88,0,0.250980513294,085.jpg,0,47.016,EXCELLENT,Active,DS-69,1168180.11,MS-66, ,NO,0, ,Direct,E,1287,1,YES, ,13,W BLACKHAWK ST,085,NO,Open pipe,0,Cement,SUNNY,3.5,0.705756898692,DWM,0,1153,1909479.82
086.pdf,086.mpg,NO,22.4766885526,1.53644736842,NO,0.905873475206,0,20.3610359703,Eastman St.,39-3-25,North Branch Canal,0,-980835328,3,Dry,-0.62,0,0,086.jpg,0,14.629,FAIR,Active,I-71,1169787.3526,MS-70, ,NO,0, ,Interceptor,E,1288,1,YES, ,0,N KINGSBURY ST,086,NO,Open pipe,0,Metal,SUNNY,3,0.905873475206,DWM,0,1444,1909322.0688
087.pdf,087.mpg,NO,60.1693942995,1.29429948158,NO,0.797520705823,0,47.9863378107,Division St.,39-3-25,North Branch Chicago River,0,-1240035328,5,Invert wet,-2.98,0,0.93070572925,087.jpg,0,46.488,FAIR,Active,I-70,1168175.7272,MS-64, ,NO,0, ,Interceptor,W,1289,1,YES, ,56,W DIVISION ST,087,NO,Headwall,0,Cement,SUNNY,4x6,0.797520705823,DWM,0,1209,1908115.6357
