DS-N04,2007-08-19 20:32:00 -0500,2007-08-19 20:40:00 -0500
,41.974167,-87.707222
DS-N05,2007-08-19 20:36:00 -0500,2007-08-19 20:39:00 -0500
,41.983333,-87.750833
DS-N05,2007-08-19 20:08:00 -0500,2007-08-19 23:59:00 -0500
,41.983333,-87.750833
DS-N08,2007-08-19 09:50:00 -0500,2007-08-19 10:03:00 -0500
,41.989722,-87.765
DS-N08,2007-08-19 11:41:00 -0500,2007-08-19 11:45:00 -0500
,41.989722,-87.765
DS-N08,2007-08-19 20:06:00 -0500,2007-08-19 23:59:00 -0500
,41.989722,-87.765
DS-N10A,2007-08-19 20:07:00 -0500,2007-08-19 21:45:00 -0500
,42.003056,-87.780278
DS-N10B,2007-08-19 10:02:00 -0500,2007-08-19 10:06:00 -0500
,42.000278,-87.783889
DS-N10B,2007-08-19 12:07:00 -0500,2007-08-19 12:09:00 -0500
,42.000278,-87.783889
DS-N10B,2007-08-19 20:08:00 -0500,2007-08-19 23:59:00 -0500
,42.000278,-87.783889
DS-N13R,2007-08-19 10:01:00 -0500,2007-08-19 10:03:00 -0500
,nan,nan
DS-N13R,2007-08-19 11:56:00 -0500,2007-08-19 12:01:00 -0500
,nan,nan
DS-N13R,2007-08-19 20:24:00 -0500,2007-08-19 21:25:00 -0500
,nan,nan
DS-N13R,2007-08-19 23:23:00 -0500,2007-08-19 23:57:00 -0500
,nan,nan
