DS-N18,2007-07-18 20:40:00 -0500,2007-07-18 20:46:00 -0500
,nan,nan
MS16,2007-07-18 21:18:00 -0500,2007-07-18 21:23:00 -0500
,nan,nan
TGI12,2007-07-18 21:13:00 -0500,2007-07-19 21:17:00 -0500
,nan,nan
RAPS,2007-07-18 22:40:00 -0500,2007-07-18 23:59:00 -0500
,nan,nan
NBPS,2007-07-19 00:00:00 -0500,2007-07-19 02:26:00 -0500
,nan,nan
DS-M10,2007-07-19 01:58:00 -0500,2007-07-19 02:03:00 -0500
,nan,nan
DS-M11,2007-07-19 04:04:00 -0500,2007-07-19 04:59:00 -0500
,nan,nan
RAPS,2007-07-19 00:00:00 -0500,2007-07-19 05:00:00 -0500
,nan,nan
TG13A,2007-07-19 00:35:00 -0500,2007-07-19 00:53:00 -0500
,nan,nan
DS-M11,2007-07-19 00:00:00 -0500,2007-07-19 04:04:00 -0500
,nan,nan
DS-M105W,2007-07-19 00:41:00 -0500,2007-07-19 01:37:00 -0500
,nan,nan
DSM106,2007-07-19 00:55:00 -0500,2007-07-19 01:56:00 -0500
,nan,nan
DSM109,2007-07-19 00:09:00 -0500,2007-07-19 01:53:00 -0500
,nan,nan
DSM114N,2007-07-19 05:46:00 -0500,2007-07-19 07:18:00 -0500
,nan,nan
DS-N12,2007-07-19 00:00:00 -0500,2007-07-19 01:52:00 -0500
,nan,nan
DS-M10,2007-07-19 00:00:00 -0500,2007-07-19 01:57:00 -0500
,nan,nan
CDS-2,2007-07-26 11:40:00 -0500,2007-07-26 13:13:00 -0500
,nan,nan
CDS-4,2007-07-26 11:24:00 -0500,2007-07-26 12:52:00 -0500
,nan,nan
CDS-6,2007-07-26 04:45:00 -0500,2007-07-26 04:52:00 -0500
,nan,nan
CDS-45,2007-07-26 04:52:00 -0500,2007-07-26 06:21:00 -0500
,nan,nan
CDS-55,2007-07-26 04:09:00 -0500,2007-07-26 04:15:00 -0500
,nan,nan
C-1,2007-07-26 05:10:00 -0500,2007-07-26 05:22:00 -0500
,nan,nan
CDS-21,2007-07-26 10:13:00 -0500,2007-07-26 19:08:00 -0500
,nan,nan
DS-D18,2007-07-26 04:11:00 -0500,2007-07-26 05:14:00 -0500
,nan,nan
DS-D39,2007-07-26 04:38:00 -0500,2007-07-26 05:10:00 -0500
,nan,nan
DS-D28,2007-07-26 04:20:00 -0500,2007-07-26 04:24:00 -0500
,nan,nan
DS-D40,2007-07-26 04:12:00 -0500,2007-07-26 04:57:00 -0500
,nan,nan
TG13A,2007-07-26 04:28:00 -0500,2007-07-26 05:25:00 -0500
,nan,nan
WCPS,2007-07-26 04:30:00 -0500,2007-07-26 04:45:00 -0500
,nan,nan
TGM71,2007-07-26 04:14:00 -0500,2007-07-26 04:27:00 -0500
,nan,nan
RAPS,2007-07-26 05:33:00 -0500,2007-07-26 12:50:00 -0500
,nan,nan
DS-D18,2007-07-27 04:04:00 -0500,2007-07-27 04:44:00 -0500
,nan,nan
NBPS,2007-08-05 08:14:00 -0500,2007-08-05 11:58:00 -0500
,nan,nan
DS-D05,2007-08-05 06:56:00 -0500,2007-08-05 07:12:00 -0500
,nan,nan
DS-D05,2007-08-05 07:40:00 -0500,2007-08-05 07:51:00 -0500
,nan,nan
DS-D08,2007-08-05 07:00:00 -0500,2007-08-05 07:31:00 -0500
,nan,nan
DS-D08,2007-08-05 07:40:00 -0500,2007-08-05 08:19:00 -0500
,nan,nan
DS-D18,2007-08-05 07:00:00 -0500,2007-08-05 07:24:00 -0500
,nan,nan
DS-D18,2007-08-05 07:42:00 -0500,2007-08-05 08:06:00 -0500
,nan,nan
DS-D39,2007-08-05 07:50:00 -0500,2007-08-05 08:43:00 -0500
,nan,nan
DS-D39,2007-08-05 07:50:00 -0500,2007-08-05 09:15:00 -0500
,nan,nan
TG13A,2007-08-05 07:05:00 -0500,2007-08-05 08:36:00 -0500
,nan,nan
TGM71,2007-08-05 07:50:00 -0500,2007-08-05 08:17:00 -0500
,nan,nan
DS-M104,2007-08-05 08:08:00 -0500,2007-08-05 09:03:00 -0500
,nan,nan
DSM106,2007-08-05 08:07:00 -0500,2007-08-05 09:58:00 -0500
,nan,nan
DSM109,2007-08-05 08:07:00 -0500,2007-08-05 10:39:00 -0500
,nan,nan
DSM114N,2007-08-05 08:29:00 -0500,2007-08-05 09:01:00 -0500
,nan,nan
DSM114N,2007-08-05 11:51:00 -0500,2007-08-05 13:26:00 -0500
,nan,nan
DS-N12,2007-08-05 08:07:00 -0500,2007-08-05 09:56:00 -0500
,nan,nan
DS-N17,2007-08-05 08:10:00 -0500,2007-08-05 08:36:00 -0500
,nan,nan
DS-N18,2007-08-05 08:08:00 -0500,2007-08-05 08:46:00 -0500
,nan,nan
RAPS,2007-08-05 08:30:00 -0500,2007-08-05 13:30:00 -0500
,nan,nan
WCPS,2007-08-05 07:50:00 -0500,2007-08-05 08:10:00 -0500
,nan,nan
NBPS,2007-08-07 03:56:00 -0500,2007-08-07 09:49:00 -0500
,nan,nan
DS-D05,2007-08-07 03:40:00 -0500,2007-08-07 04:30:00 -0500
,nan,nan
DS-D08,2007-08-07 03:51:00 -0500,2007-08-07 05:10:00 -0500
,nan,nan
TGM71,2007-08-07 04:22:00 -0500,2007-08-07 04:57:00 -0500
,nan,nan
DS-M101,2007-08-07 04:06:00 -0500,2007-08-07 05:33:00 -0500
,nan,nan
DS-M104,2007-08-07 04:01:00 -0500,2007-08-07 07:05:00 -0500
,nan,nan
DS-M105W,2007-08-07 07:40:00 -0500,2007-08-07 09:26:00 -0500
,nan,nan
DSM106,2007-08-07 04:06:00 -0500,2007-08-07 09:29:00 -0500
,nan,nan
DSM107,2007-08-07 04:03:00 -0500,2007-08-07 04:56:00 -0500
,nan,nan
DSM109,2007-08-07 04:02:00 -0500,2007-08-07 09:34:00 -0500
,nan,nan
DSM109,2007-08-07 09:37:00 -0500,2007-08-07 09:39:00 -0500
,nan,nan
DSM109,2007-08-07 09:43:00 -0500,2007-08-07 09:46:00 -0500
,nan,nan
DSM109,2007-08-07 09:55:00 -0500,2007-08-07 09:58:00 -0500
,nan,nan
DSM109,2007-08-07 11:46:00 -0500,2007-08-07 12:17:00 -0500
,nan,nan
DSM109,2007-08-07 12:24:00 -0500,2007-08-07 12:26:00 -0500
,nan,nan
DSM109,2007-08-07 12:55:00 -0500,2007-08-07 13:04:00 -0500
,nan,nan
DSM109,2007-08-07 13:34:00 -0500,2007-08-07 13:39:00 -0500
,nan,nan
DSM114N,2007-08-07 07:32:00 -0500,2007-08-07 09:37:00 -0500
,nan,nan
DSM114N,2007-08-07 10:27:00 -0500,2007-08-07 10:33:00 -0500
,nan,nan
DSM114N,2007-08-07 18:15:00 -0500,2007-08-07 18:19:00 -0500
,nan,nan
DSM114N,2007-08-07 18:21:00 -0500,2007-08-07 18:30:00 -0500
,nan,nan
DSN6,2007-08-07 04:07:00 -0500,2007-08-07 06:01:00 -0500
,nan,nan
DS-N11,2007-08-07 04:02:00 -0500,2007-08-07 04:55:00 -0500
,nan,nan
DS-N16,2007-08-07 03:40:00 -0500,2007-08-07 03:42:00 -0500
,nan,nan
DS-N16,2007-08-07 04:01:00 -0500,2007-08-07 04:39:00 -0500
,nan,nan
DS-N17,2007-08-07 03:47:00 -0500,2007-08-07 03:50:00 -0500
,nan,nan
DS-N17,2007-08-07 04:06:00 -0500,2007-08-07 05:12:00 -0500
,nan,nan
DS-N19,2007-08-07 04:01:00 -0500,2007-08-07 05:23:00 -0500
,nan,nan
NBPS,2007-08-08 16:47:00 -0500,2007-08-08 20:26:00 -0500
,nan,nan
TGM71,2007-08-08 16:42:00 -0500,2007-08-08 17:11:00 -0500
,nan,nan
WCPS,2007-08-08 16:45:00 -0500,2007-08-08 16:45:59 -0500
,nan,nan
DSM114N,2007-08-08 07:29:00 -0500,2007-08-08 07:39:00 -0500
,nan,nan
DSM114N,2007-08-09 13:28:00 -0500,2007-08-09 13:46:00 -0500
,nan,nan
DSM114N,2007-08-09 13:47:00 -0500,2007-08-09 14:10:00 -0500
,nan,nan
DSM114N,2007-08-09 13:06:00 -0500,2007-08-09 13:26:00 -0500
,nan,nan
DS-D39,2007-08-15 19:56:00 -0500,2007-08-15 20:42:00 -0500
,nan,nan
DS-D19,2007-08-15 20:25:00 -0500,2007-08-15 22:01:00 -0500
,nan,nan
DS-D39,2007-08-15 20:43:00 -0500,2007-08-15 20:57:00 -0500
,nan,nan
TG13A,2007-08-15 19:46:00 -0500,2007-08-15 20:53:00 -0500
,nan,nan
NBPS,2007-08-19 13:08:00 -0500,2007-08-19 16:40:00 -0500
,nan,nan
NBPS,2007-08-19 20:33:00 -0500,2007-08-19 23:59:00 -0500
,nan,nan
DS-D05,2007-08-19 05:03:00 -0500,2007-08-19 05:29:00 -0500
,nan,nan
DS-D08,2007-08-19 20:28:00 -0500,2007-08-19 21:13:00 -0500
,nan,nan
DS-D39,2007-08-19 12:25:00 -0500,2007-08-19 12:33:00 -0500
,nan,nan
DS-D47,2007-08-19 21:53:00 -0500,2007-08-19 21:56:00 -0500
,nan,nan
RAPS,2007-08-19 13:20:00 -0500,2007-08-19 23:59:00 -0500
,nan,nan
DS-M11,2007-08-19 21:25:00 -0500,2007-08-19 23:59:00 -0500
,nan,nan
DS-D08,2007-08-19 08:21:00 -0500,2007-08-19 08:29:00 -0500
,nan,nan
DS-D08,2007-08-19 17:12:00 -0500,2007-08-19 17:16:00 -0500
,nan,nan
DS-D08,2007-08-19 20:43:00 -0500,2007-08-19 23:59:00 -0500
,nan,nan
DS-D41,2007-08-19 12:17:00 -0500,2007-08-19 12:22:00 -0500
,nan,nan
TG13A,2007-08-19 07:58:00 -0500,2007-08-19 08:19:00 -0500
,nan,nan
TG13A,2007-08-19 12:06:00 -0500,2007-08-19 13:07:00 -0500
,nan,nan
DS-M101,2007-08-19 20:38:00 -0500,2007-08-19 20:59:00 -0500
,nan,nan
DS-M101,2007-08-19 20:37:00 -0500,2007-08-19 21:00:00 -0500
,nan,nan
DS-M104,2007-08-19 10:06:00 -0500,2007-08-19 10:09:00 -0500
,nan,nan
DS-M104,2007-08-19 11:54:00 -0500,2007-08-19 11:56:00 -0500
,nan,nan
DS-M104,2007-08-19 20:22:00 -0500,2007-08-19 21:26:00 -0500
,nan,nan
DS-M105W,2007-08-19 12:39:00 -0500,2007-08-19 12:42:00 -0500
,nan,nan
DS-M105W,2007-08-19 20:38:00 -0500,2007-08-19 23:59:00 -0500
,nan,nan
DSM106,2007-08-19 13:18:00 -0500,2007-08-19 13:28:00 -0500
,nan,nan
DSM106,2007-08-19 21:51:00 -0500,2007-08-19 22:33:00 -0500
,nan,nan
DSM109,2007-08-19 08:21:00 -0500,2007-08-19 10:11:00 -0500
,nan,nan
DSM109,2007-08-19 10:15:00 -0500,2007-08-19 12:12:00 -0500
,nan,nan
DSM109,2007-08-19 16:54:00 -0500,2007-08-19 16:56:00 -0500
,nan,nan
DSM109,2007-08-19 19:59:00 -0500,2007-08-19 23:59:00 -0500
,nan,nan
