location,segment,date,starttime,endtime,duration
DS-M09,9,2016-05-25,11:02,11:04,2
DS-M03,9,2016-05-25,11:05,11:07,2
DS-M84,3,2016-05-25,11:07,11:28,21
DS-M84,3,2016-05-25,11:08,11:29,21
DS-D41,15,2016-05-26,02:11,08:23,372
"DS-D44,45",15,2016-05-26,02:12,01:47,1414
"DS-D44,45",15,2016-05-26,02:17,08:32,375
DS-D43,15,2016-05-26,02:33,02:41,8
DS-D43,15,2016-05-26,02:41,04:45,123
DS-D48,15,2016-05-26,02:53,05:49,175
DS-D43,15,2016-05-26,04:46,05:33,47
DS-D43,15,2016-05-26,05:34,05:37,3
DS-D43,15,2016-05-26,05:38,05:42,3
DS-D43,15,2016-05-26,05:43,05:46,2
DS-D27I,14,2016-05-26,05:45,07:39,113
DS-D43,15,2016-05-26,05:47,05:48,0
DS-D43,15,2016-05-26,05:48,05:51,3
DS-D43,15,2016-05-26,05:53,05:56,2
DS-D43,15,2016-05-26,05:57,05:58,1
DS-D43,15,2016-05-26,05:58,06:02,3
DS-D43,15,2016-05-26,06:08,06:10,1
DS-D43,15,2016-05-26,06:12,06:14,2
DS-D43,15,2016-05-26,06:17,06:18,1
DS-D43,15,2016-05-26,06:21,06:24,2
DS-D43,15,2016-05-26,06:26,06:27,1
DS-D43,15,2016-05-26,06:35,06:37,1
DS-D43,15,2016-05-26,06:37,06:38,0
DS-D43,15,2016-05-26,06:39,06:41,1
DS-D43,15,2016-05-26,07:02,07:03,1
DS-D32,14,2016-05-26,09:28,07:40,1331
"DS-M27,DS-M28,& DS-M29 (RAPS)",7,2016-05-26,12:00,02:00,840
DS-M10,9,2016-05-26,12:26,12:27,1
DS-M70,3,2016-05-27,03:48,04:07,19
DS-M25,6,2016-05-27,04:04,04:32,28
"DS-M27,DS-M28,& DS-M29 (RAPS)",7,2016-05-27,06:03,05:50,707
"DS-D44,45",15,2016-05-27,08:43,09:07,744
"DS-D44,45",15,2016-05-27,08:45,01:47,301
DS-D41,15,2016-05-27,08:45,10:31,105
DS-D48,15,2016-05-27,08:46,09:51,64
DS-D43,15,2016-05-27,08:57,09:53,56
DS-D35,14,2016-05-27,08:58,09:37,38
