Outfall Structure,Outfall Location,Tide Gate #,Waterway Reach,Plant,Open date/time,Close date/time,Gate Open Period
DS-M08,Natchez Ave ext. (S),TG1,CSSC Lower (SWRP),Stickney,8/12/2016 9:41:37 PM,8/12/2016 10:15:01 PM,:00:33:24
DS-M104W,Main St (W),TG1,NSC Upper (NSWRP),Stickney,8/20/2016 11:00:51 AM,8/20/2016 11:16:41 AM,:00:15:50
DS-M104W,Main St (W),TG1,NSC Upper (NSWRP),Stickney,8/20/2016 10:48:45 AM,8/20/2016 10:52:45 AM,:00:04:00
DS-M104W,Main St (W),TG1,NSC Upper (NSWRP),Stickney,8/20/2016 9:38:41 AM,8/20/2016 10:36:29 AM,:00:57:48
DS-M104W,Main St (W),TG1,NSC Upper (NSWRP),Stickney,8/12/2016 9:26:37 PM,8/12/2016 10:28:29 PM,:01:01:52
DS-M104W,Main St (W),TG1,NSC Upper (NSWRP),Stickney,8/12/2016 7:25:21 PM,8/12/2016 9:03:37 PM,:01:38:16
DS-M104E,Main St (E),TG1,NSC Upper (NSWRP),Stickney,8/20/2016 8:49:01 AM,8/20/2016 8:50:29 AM,:00:01:28
DS-M105W,Greenwood St & McCormick Blvd (W),TG1,NSC Upper (NSWRP),Stickney,8/20/2016 9:39:31 AM,8/20/2016 10:50:57 AM,:01:11:26
DS-M106E,Lake St (E),TG1,NSC Upper (NSWRP),Stickney,8/20/2016 2:08:09 PM,8/20/2016 2:12:41 PM,:00:04:32
DS-M106E,Lake St (E),TG1,NSC Upper (NSWRP),Stickney,8/20/2016 2:03:05 PM,8/20/2016 2:07:45 PM,:00:04:40
DS-M106E,Lake St (E),TG1,NSC Upper (NSWRP),Stickney,8/20/2016 2:03:05 PM,8/20/2016 2:07:45 PM,:00:04:40
DS-M109N,Green Bay Rd & McCormick (W),TG1,NSC Upper (NSWRP),Stickney,8/20/2016 10:50:41 AM,8/20/2016 10:52:01 AM,:00:01:20
DS-M109N,Green Bay Rd & McCormick (W),TG1,NSC Upper (NSWRP),Stickney,8/20/2016 9:39:31 AM,8/20/2016 9:57:53 AM,:00:18:22
DS-M114N,Sheridan Rd (Wilmette P.S.) (W),TG1,NSC Upper (NSWRP),Stickney,8/20/2016 9:00:33 AM,8/20/2016 10:05:37 AM,:01:05:04
DS-M114N,Sheridan Rd (Wilmette P.S.) (W),TG1,NSC Upper (NSWRP),Stickney,8/18/2016 7:08:17 AM,8/18/2016 8:35:17 AM,:01:27:00
DS-M114N,Sheridan Rd (Wilmette P.S.) (W),TG1,NSC Upper (NSWRP),Stickney,8/12/2016 7:51:01 PM,8/12/2016 8:10:33 PM,:00:19:32
DS-M13,"Laramie Ave ext. (Edmeir Rd, SE of SWRP guardhouse) (N)",TG1,CSSC Upper (SWRP),Stickney,8/20/2016 11:06:11 AM,8/20/2016 11:20:29 AM,:00:14:18
DS-M13,"Laramie Ave ext. (Edmeir Rd, SE of SWRP guardhouse) (N)",TG1,CSSC Upper (SWRP),Stickney,8/13/2016 12:08:57 AM,8/13/2016 1:14:25 AM,:01:05:28
DS-M13,"Laramie Ave ext. (Edmeir Rd, SE of SWRP guardhouse) (N)",TG1,CSSC Upper (SWRP),Stickney,8/12/2016 8:10:05 PM,8/12/2016 9:48:17 PM,:01:38:12
DS-M13,"Laramie Ave ext. (Edmeir Rd, SE of SWRP guardhouse) (N)",TG1,CSSC Upper (SWRP),Stickney,8/12/2016 11:22:05 AM,8/12/2016 1:19:21 PM,:01:57:16
DS-M15,Kenton Ave (Kostner Ave Ext.) (N),TG2,CSSC Upper (SWRP),Stickney,8/20/2016 9:58:05 AM,8/20/2016 1:03:49 PM,:03:05:44
DS-M15,Kenton Ave (Kostner Ave Ext.) (N),TG2,CSSC Upper (SWRP),Stickney,8/12/2016 11:39:57 PM,8/13/2016 2:14:33 AM,:02:34:36
