collect(date),time(collected),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),alk(qual_code),cl(mg/l),cl(qual_code),f(mg/l),toc(mg/l),toc(qual_code),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),chloroph(yll_a),chloroph(qual_code),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l),xylenes_(total)(ug/l)
2012-06-11 00:00:00,1125.0,ww_102,7.3,21.2,7.83,0.23,0.22,<1,0.11,26.13,176.0,37.0,6.0,,110.0,,15.0,,0.1,2.0,,<5,<0.005,<0.001,<5,<1.30,<1.60,150.0,3.9,,,<0.02,0.025,,<0.05,,,<0.001,37.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,13.0,,0.087,,<0.2,,,<0.005,0.005,,0.001,0.001,,0.01,9.742,<2,<2,<2,<3,<3,<3
2012-06-11 00:00:00,1150.0,ww_36,7.0,21.4,7.18,5.906,0.91,1.85,1.28,39.45,386.0,12.0,<4,,128.0,,83.0,,0.65,4.2,,<5,<0.005,0.0011,<5,<1.60,2.9,5600.0,2.4,,,<0.02,0.022,,0.14,,,<0.001,49.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,18.0,,0.027,,<0.2,,,<0.005,0.005,,0.001,0.001,,0.02,,<2,<2,<2,<3,<3,<3
2012-06-11 00:00:00,1240.0,ww_101,7.7,21.8,7.27,7.113,1.11,1.97,1.34,42.0,400.0,18.0,4.0,,127.0,,93.0,,0.67,4.8,,<5,<0.005,0.0014,<5,,,9600.0,3.1,,,<0.02,0.022,,0.14,,,<0.001,51.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,18.0,,0.034,,<0.2,,,<0.005,0.005,,0.001,0.001,,0.02,,<2,<2,<2,<3,<3,<3
2012-06-11 00:00:00,1300.0,ww_96,7.0,27.1,7.84,5.187,0.13,<1,0.99,58.88,812.0,9.0,<4,,178.0,,296.0,,0.58,4.8,,<5,<0.005,<0.001,,<2.80,4.3,180.0,2.1,,,<0.02,0.041,,0.15,,,<0.001,69.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,32.0,,0.049,,<0.2,,,0.005,<0.005,,0.001,0.001,,0.02,<5.0,<2,<2,<2,<3,<3,<3
2012-06-11 00:00:00,855.0,ww_92,6.0,27.4,7.13,6.738,0.51,1.27,1.07,80.83,552.0,9.0,<4,,133.0,,139.0,,0.67,5.9,,<5,<0.005,0.0014,<5,,,<10,11.5,,,<0.02,0.018,,0.24,,,<0.001,55.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,20.0,,0.034,,<0.2,,,0.007,0.005,,0.001,0.001,,0.03,,,,,,,
2012-06-18 00:00:00,845.0,ww_74,6.6,21.9,7.55,0.295,0.12,<1,<0.1,23.63,208.0,<4,<4,,106.0,,16.0,,0.12,2.1,,<5,<0.005,<0.001,,<1.20,<1.50,50.0,1.2,,,<0.02,0.022,,<0.05,,,<0.001,34.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,12.0,,0.013,,<0.2,,,<0.005,0.005,,<0.001,0.001,,0.01,<5.0,,,,,,
2012-06-18 00:00:00,910.0,ww_100,5.2,24.0,7.43,3.145,0.58,1.04,0.45,33.59,320.0,7.0,<4,,119.0,,59.0,,0.44,3.2,,<5,<0.005,<0.001,,<1.60,<1.50,390.0,1.9,,,<0.02,0.023,,0.08,,,<0.001,43.0,,,<0.005,<6,,0.005,,<0.1,,<0.02,16.0,,0.018,,<0.2,,,<0.005,0.008,,0.001,0.001,,0.02,15.178,,,,,,
2012-06-18 00:00:00,925.0,ww_39,6.0,23.6,7.36,4.462,0.66,1.37,0.83,36.48,384.0,10.0,<4,,123.0,,77.0,,0.55,3.8,,<5,<0.005,<0.001,<5,,,560.0,1.6,,,<0.02,0.026,,0.1,,,<0.001,48.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,18.0,,0.05,,<0.2,,,<0.005,0.005,,0.001,0.001,,0.02,,,,,,,
2012-06-18 00:00:00,945.0,ww_108,4.8,26.1,7.47,4.366,0.59,1.42,0.83,36.01,386.0,15.0,<4,,122.0,,78.0,,0.47,3.7,,<5,<0.005,<0.001,<5,,,140.0,1.8,,,<0.02,0.024,,0.09,,,<0.001,46.0,,,<0.005,<6,,0.005,,<0.1,,<0.02,17.0,,0.027,,<0.2,,,0.005,0.005,,0.001,0.001,,0.02,,,,,,,
2012-06-18 00:00:00,1025.0,ww_99,3.3,26.4,7.07,2.618,1.81,3.42,0.38,35.7,296.0,24.0,8.0,,138.0,,84.0,,0.59,4.6,,<5,<0.005,<0.001,<5,,,60.0,18.9,,,<0.02,0.028,,0.09,,,<0.001,47.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,17.0,,0.044,,<0.2,,,<0.005,0.005,,0.001,0.001,,0.01,,,,,,,
